customer_id,customer_name,email,country,segment,signup_date,order_count,first_order_date,last_order_date,has_orders,signup_to_first_order_days,signup_order_date_status,gross_sales,discount_amount,net_sales,units_sold,units_returned,return_amount,repeat_customer_flag,average_order_value,return_rate,discount_rate,days_since_last_order,customer_lifetime_days,analysis_date
300001,Jason Walker,harnold@example.org,Mexico,Corporate,2020-10-29,6,2020-12-12,2025-01-16,True,44.0,Valid,227174.09,13394.87886,213779.21114000003,243.0,0.0,0.0,True,35629.86852333334,0.0,0.05896305718667125,689.0,1496.0,2026-12-06
300002,Heather Leon,pgutierrez@example.net,Australia,Online,2024-12-11,1,2025-07-17,2025-07-17,True,218.0,Valid,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,507.0,0.0,2026-12-06
300003,Todd Casey,joseph44@example.com,Germany,Wholesale,2024-08-02,0,,,False,,Cannot Determine,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,2026-12-06
300004,Terry Johnson,hernandeznicholas@example.net,Australia,,2024-12-01,4,2024-08-28,2026-04-06,True,-95.0,First Order Before Signup,209965.99000000002,27729.95107,182236.03893,226.0,0.0,0.0,True,45559.0097325,0.0,0.13206877490016358,244.0,586.0,2026-12-06
300005,Frances Haley,zallen@example.org,United Kingdom,Corporate,2024-10-06,2,2025-02-01,2025-04-14,True,118.0,Valid,89864.96,10034.61032,79830.34968,163.0,0.0,0.0,True,39915.17484,0.0,0.11166321467232611,601.0,72.0,2026-12-06
300006,Anthony Frederick,oanderson@example.com,Germany,Online,2023-09-30,3,2024-03-22,2026-07-13,True,174.0,Valid,91314.08,10054.75564,81259.32436,106.0,7.0,0.0,True,27086.441453333333,0.0660377358490566,0.1101117772856059,146.0,843.0,2026-12-06
300007,Tanner Holmes,thall@example.org,France,Wholesale,2025-07-20,6,2025-08-22,2026-04-29,True,33.0,Valid,290757.35,41188.583249999996,249568.76675,307.0,0.0,0.0,True,41594.79445833334,0.0,0.1416596459212467,221.0,250.0,2026-12-06
300008,Rachel Cameron,mary25@example.org,Japan,Corporate,2023-03-09,3,2023-10-10,2025-07-27,True,215.0,Valid,34806.04,5686.49608,29119.54392,62.0,0.0,0.0,True,9706.51464,0.0,0.16337670358363088,497.0,656.0,2026-12-06
300009,Adam Carrillo,anthonyzimmerman@example.org,United States,Corporate,2021-02-17,0,,,False,,Cannot Determine,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,2026-12-06
300010,Nicholas Lucero,jacob34@example.org,Brazil,Corporate,2023-07-11,3,2023-12-16,2025-11-09,True,158.0,Valid,149277.78,6620.3965800000005,142657.38342,131.0,0.0,0.0,True,47552.46114,0.0,0.0443495112266541,392.0,694.0,2026-12-06
300011,Richard Hartman,donna41@example.org,Japan,Online,2023-05-05,4,2025-02-15,2026-04-20,True,652.0,Valid,177107.91999999998,24522.85953,152585.06047,147.0,0.0,0.0,True,38146.2651175,0.0,0.13846280578530878,230.0,429.0,2026-12-06
300012,Lauren Garcia,hho@example.org,Mexico,Wholesale,2023-10-20,1,2024-07-01,2024-07-01,True,255.0,Valid,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,888.0,0.0,2026-12-06
300013,Christopher Jones,roberta36@example.org,Brazil,Online,2021-05-16,4,2021-06-14,2024-01-09,True,29.0,Valid,255727.87999999998,2197.7745999999997,253530.10540000003,232.0,0.0,0.0,True,63382.52635000001,0.0,0.008594192389191197,1062.0,939.0,2026-12-06
300014,Benjamin Chung,clarkrobert@example.com,Germany,Retail,2023-02-13,6,2023-10-08,2026-04-12,True,237.0,Valid,243899.66999999998,26659.21116,217240.45884,260.0,0.0,0.0,True,36206.74314,0.0,0.10930400668438789,238.0,917.0,2026-12-06
300015,Christopher Evans,donnawelch@example.org,Vietnam,Corporate,2023-10-31,2,2024-01-22,2025-01-02,True,83.0,Valid,238961.72,7316.86678,231644.85322,133.0,0.0,0.0,True,115822.42661,0.0,0.030619409585769638,703.0,346.0,2026-12-06
300016,Gregory Cooley,,Australia,Corporate,2021-04-02,4,2023-04-25,2025-08-22,True,753.0,Valid,148573.6,2061.3035,133385.99819,197.0,9.0,13126.29831,True,33346.4995475,0.04568527918781726,0.013873955399882617,471.0,850.0,2026-12-06
300017,Alexander Hunt,javierdiaz@example.org,France,,2021-08-18,5,2022-02-25,2025-12-09,True,191.0,Valid,283742.35,24852.271399999998,258890.0786,253.0,0.0,0.0,True,51778.01572,0.0,0.0875874588336919,362.0,1383.0,2026-12-06
300018,Bradley Holt,josepholson@example.org,Brazil,Online,2020-10-23,2,2023-11-25,2025-06-25,True,1128.0,Valid,130877.60999999999,13499.980570000002,117377.62943,144.0,0.0,0.0,True,58688.814715,0.0,0.10314965691992697,529.0,578.0,2026-12-06
300019,Elizabeth Mcgee,zgraham@example.org,Australia,Wholesale,2022-05-29,5,2023-03-06,2025-11-17,True,281.0,Valid,247119.42,8819.765660000001,238299.65434,220.0,0.0,0.0,True,47659.930868,0.0,0.03569029767065656,384.0,987.0,2026-12-06
300020,Ryan Love,ygarcia@example.net,Brazil,,2021-11-30,1,2026-05-11,2026-05-11,True,1623.0,Valid,2219.41,259.67097,1959.73903,1.0,0.0,0.0,False,1959.73903,0.0,0.117,209.0,0.0,2026-12-06
300021,Tiffany Freeman,vhenderson@example.com,India,Online,2022-03-22,4,2022-08-23,2025-07-08,True,154.0,Valid,186409.62,39840.77426,146568.84574000002,170.0,0.0,0.0,True,36642.211435000005,0.0,0.213727029002044,516.0,1050.0,2026-12-06
300022,Lisa Patterson,nathaniel17@example.org,China,Corporate,2024-09-28,3,2025-03-07,2025-11-27,True,160.0,Valid,44153.5,529.842,43623.658,50.0,0.0,0.0,True,14541.219333333334,0.0,0.012,374.0,265.0,2026-12-06
300023,Dawn Ortiz,raymond12@example.com,Germany,Retail,2025-02-10,3,2025-02-25,2026-07-30,True,15.0,Valid,207339.06,14151.44552,193187.61448,154.0,0.0,0.0,True,64395.87149333333,0.0,0.0682526752074597,129.0,520.0,2026-12-06
300024,David Lewis,nathan51@example.org,United States,Wholesale,2022-10-24,8,2022-11-22,2025-02-20,True,29.0,Valid,698219.5,33075.77949,660782.60191,457.0,4.0,4361.1186,True,82597.82523875,0.0087527352297593,0.0473716066222728,654.0,821.0,2026-12-06
300025,Gary Marshall,rachel81@example.com,France,Wholesale,2022-04-04,3,2023-01-24,2025-11-02,True,295.0,Valid,112963.97,12002.93782,84747.30937999999,130.0,10.0,16213.7228,True,28249.103126666665,0.07692307692307693,0.10625456789452424,399.0,1013.0,2026-12-06
300026,Daniel Hoffman,berrydebbie@example.net,United Kingdom,Wholesale,2022-01-30,1,2022-02-21,2022-02-21,True,22.0,Valid,82515.92,4342.4072,78173.5128,70.0,0.0,0.0,False,78173.5128,0.0,0.052625083741416195,1749.0,0.0,2026-12-06
300027,Francisco Gonzalez,rjimenez@example.com,Canada,Wholesale,2024-06-11,3,2024-07-19,2026-02-17,True,38.0,Valid,152169.04,15503.55312,136665.48688,134.0,0.0,0.0,True,45555.162293333335,0.0,0.10188375454034539,292.0,578.0,2026-12-06
300028,Kyle Garza,barbaramitchell@example.net,United States,Online,2021-04-05,4,2021-04-08,2024-09-07,True,3.0,Valid,283317.89,46840.072029999996,232835.33077,302.0,4.0,3642.4872,True,58208.8326925,0.013245033112582781,0.16532691257159932,820.0,1248.0,2026-12-06
300029,Abigail Murray,,Canada,Corporate,2024-07-31,5,2024-08-27,2026-07-17,True,27.0,Valid,412378.52,55435.65375,356942.86624999996,338.0,0.0,0.0,True,71388.57324999999,0.0,0.13442905258498913,142.0,689.0,2026-12-06
